name,assertion_sv,line_number,expected_result,code
check_initial_state_m0,assert property (@(posedge clk) $rose(clk) |-> m0 == 1),10,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; //
        m1 = 0; 
        m2 = 0; 
        m3 = 0; 
        m4 = 0; 
        m5 = 0; 
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_initial_state_m1,assert property (@(posedge clk) $rose(clk) |-> m1 == 0),11,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0; //
        m2 = 0; 
        m3 = 0; 
        m4 = 0; 
        m5 = 0; 
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_initial_state_m2,assert property (@(posedge clk) $rose(clk) |-> m2 == 0),12,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0; 
        m2 = 0; //
        m3 = 0; 
        m4 = 0; 
        m5 = 0; 
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_initial_state_m3,assert property (@(posedge clk) $rose(clk) |-> m3 == 0),13,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0; 
        m2 = 0; 
        m3 = 0; //
        m4 = 0; 
        m5 = 0; 
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_initial_state_m4,assert property (@(posedge clk) $rose(clk) |-> m4 == 0),14,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0; 
        m2 = 0; 
        m3 = 0; 
        m4 = 0; //
        m5 = 0; 
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_initial_state_m5,assert property (@(posedge clk) $rose(clk) |-> m5 == 0),15,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0; 
        m2 = 0; 
        m3 = 0; 
        m4 = 0; 
        m5 = 0; //
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_initial_state_m6,assert property (@(posedge clk) $rose(clk) |-> m6 == 0),16,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0; 
        m2 = 0; 
        m3 = 0; 
        m4 = 0; 
        m5 = 0; 
        m6 = 0; //
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_initial_state_m7,assert property (@(posedge clk) $rose(clk) |-> m7 == 0),17,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0; 
        m2 = 0; 
        m3 = 0; 
        m4 = 0; 
        m5 = 0; 
        m6 = 0; 
        m7 = 0;  //
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 :
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_readLoc1_memOut1,assert property (@(posedge clk) readLoc1 == 0 |-> memOut1 == m0),19,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1; //
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1; //
    output [0:`DATA] memOut2;
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1;  //
        m1 = 0; 
        m2 = 0; 
        m3 = 0; 
        m4 = 0; 
        m5 = 0; 
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 : //
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7;

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
check_readLoc2_memOut2,assert property (@(posedge clk) readLoc2 == 0 |-> memOut2 == m0),23,PASS,"module memory(clk, opcode, readLoc1, readLoc2, writeLoc, data, memOut1, memOut2);
    input clk;
    input [0:`OPCODE] opcode;
    input [0:`DATA_ADDR] readLoc1;
    input [0:`DATA_ADDR] readLoc2;
    input [0:`DATA_ADDR] writeLoc;
    input [0:`DATA] data;
    output [0:`DATA] memOut1;
    output [0:`DATA] memOut2; //
    reg [0:`DATA] m0, m1, m2, m3, m4, m5, m6, m7; //
    initial begin 
        m0 = 1; 
        m1 = 0;  //
        m2 = 0; 
        m3 = 0; 
        m4 = 0; 
        m5 = 0; 
        m6 = 0; 
        m7 = 0; 
    end
    assign memOut1 = (readLoc1 == 0) ? m0 : (readLoc1 == 1) ? m1 : (readLoc1 == 2) ? m2 : //
                     (readLoc1 == 3) ? m3 : (readLoc1 == 4) ? m4 : (readLoc1 == 5) ? m5 :
                     (readLoc1 == 6) ? m6 : m7; 

    assign memOut2 = (readLoc2 == 0) ? m0 : (readLoc2 == 1) ? m1 : (readLoc2 == 2) ? m2 :
                     (readLoc2 == 3) ? m3 : (readLoc2 == 4) ? m4 : (readLoc2 == 5) ? m5 :
                     (readLoc2 == 6) ? m6 : m7;
    always @(posedge clk) begin
        if (opcode != `JMP) begin
            if (writeLoc == 0) m0 = data;
            if (writeLoc == 1) m1 = data;
            if (writeLoc == 2) m2 = data;
            if (writeLoc == 3) m3 = data;
            if (writeLoc == 4) m4 = data;
            if (writeLoc == 5) m5 = data;
            if (writeLoc == 6) m6 = data;
            if (writeLoc == 7) m7 = data;
        end
    end
endmodule"
