name,assertion_sv,line_number,expected_result,code
check_shift_reg_reset,assert property (@(posedge clock) reset |-> shift_reg == 0),9,PASS,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin // 
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000;
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_rx_status_reset,assert property (@(posedge clock) reset |-> rx_status == 4'b0000),10,PASS,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin // 
            shift_reg = 0;
            rx_status = 4'b0000;
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_carrier_loss,assert property (@(posedge clock) carrier_loss |-> rx_status[0] == 1),14,PASS,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000;
        end else begin
            shift_reg = {shift_reg[18:0], bit_in}; // 
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_biphase_violation,assert property (@(posedge clock) biphase_violation |-> rx_status[1] == 1),15,PASS,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000;
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1; // 
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_shift_reg_no_reset,assert property (@(posedge clock) !reset |-> shift_reg != 0),12,FAIL,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000; // 
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_rx_status_no_reset,assert property (@(posedge clock) !reset |-> rx_status != 4'b0000),12,FAIL,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000; // 
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_no_carrier_loss,assert property (@(posedge clock) !carrier_loss |-> rx_status[0] == 0),14,FAIL,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000;
        end else begin
            shift_reg = {shift_reg[18:0], bit_in}; // 
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_no_biphase_violation,assert property (@(posedge clock) !biphase_violation |-> rx_status[1] == 0),15,FAIL,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000;
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1; // 
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_shift_reg_bit_in,assert property (@(posedge clock) bit_in |-> shift_reg[19] == bit_in),12,PASS,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000; // 
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
check_shift_reg_bit_shift,assert property (@(posedge clock) bit_in |-> shift_reg[18:0] == shift_reg[19:1]),12,FAIL,"module shift_register(clock, reset, bit_in, carrier_loss, biphase_violation, shift_reg, rx_status);
    input clock, reset, bit_in, carrier_loss, biphase_violation;
    output reg [19:0] shift_reg;
    output reg [3:0] rx_status;
    initial begin
        shift_reg = 0;
        rx_status = 4'b0000;
    end
    always @ (posedge clock) begin
        if (reset) begin
            shift_reg = 0;
            rx_status = 4'b0000; // 
        end else begin
            shift_reg = {shift_reg[18:0], bit_in};
            if (carrier_loss) rx_status[0] = 1;
            if (biphase_violation) rx_status[1] = 1;
        end
    end
endmodule"
