name,assertion_sv,line_number,expected_result,code
check_sel_0_word_0,assert property (@(posedge clk) sel == 2'b00 && word[15:4] == 0 |-> prefix == 16'b0111111111111111),4,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111; //
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111;
               else prefix = {10'b1, word[5:0]};
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111;
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule"
check_sel_0_word_1,"assert property (@(posedge clk) sel == 2'b00 && word[15:4] != 0 |-> prefix == {13'b1, word[2:0]})",5,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111; //
               else prefix = {13'b1, word[2:0]}; // 
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111;
               else prefix = {10'b1, word[5:0]};
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111;
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule"
check_sel_1_word_0,assert property (@(posedge clk) sel == 2'b01 && word[15:7] == 0 |-> prefix == 16'b0111111111111111),7,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111;
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111; //
               else prefix = {10'b1, word[5:0]}; 
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111;
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule"
check_sel_1_word_1,"assert property (@(posedge clk) sel == 2'b01 && word[15:7] != 0 |-> prefix == {10'b1, word[5:0]})",8,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111;
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111; //
               else prefix = {10'b1, word[5:0]}; //
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111;
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule"
check_sel_2_word_0,assert property (@(posedge clk) sel == 2'b10 && word[15:10] == 0 |-> prefix == 16'b0111111111111111),10,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111;
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111;
               else prefix = {10'b1, word[5:0]};
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111; //
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111; 
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule"
check_sel_2_word_1,"assert property (@(posedge clk) sel == 2'b10 && word[15:10] != 0 |-> prefix == {7'b1, word[8:0]})",11,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111;
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111;
               else prefix = {10'b1, word[5:0]};
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111; //
               else prefix = {7'b1, word[8:0]}; //
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]}; 
        endcase
    end
endmodule"
check_sel_3_word_0,assert property (@(posedge clk) sel == 2'b11 && word[15:13] == 0 |-> prefix == 16'b0111111111111111),13,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111;
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111;
               else prefix = {10'b1, word[5:0]};
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111;
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111; //
               else prefix = {4'b1, word[11:0]};
        endcase
    end 
endmodule"
check_sel_3_word_1,"assert property (@(posedge clk) sel == 2'b11 && word[15:13] != 0 |-> prefix == {4'b1, word[11:0]})",14,PASS,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel)
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111;
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111;
               else prefix = {10'b1, word[5:0]};
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111;
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule // "
fail_sel_0_word_0,assert property (@(posedge clk) sel == 2'b00 && word[15:4] == 0 |-> prefix != 16'b0111111111111111),4,FAIL,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111; //
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111;
               else prefix = {10'b1, word[5:0]};
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111;
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule"
fail_sel_1_word_1,"assert property (@(posedge clk) sel == 2'b01 && word[15:7] != 0 |-> prefix != {10'b1, word[5:0]})",8,FAIL,"module prefix_function(input [15:0] word, input [1:0] sel, output reg [15:0] prefix);
    always @(*) begin
        case (sel) //
            0: if (word[15:4] == 0) prefix = 16'b0111111111111111;
               else prefix = {13'b1, word[2:0]};
            1: if (word[15:7] == 0) prefix = 16'b0111111111111111; //
               else prefix = {10'b1, word[5:0]}; //
            2: if (word[15:10] == 0) prefix = 16'b0111111111111111; 
               else prefix = {7'b1, word[8:0]};
            3: if (word[15:13] == 0) prefix = 16'b0111111111111111;
               else prefix = {4'b1, word[11:0]};
        endcase
    end
endmodule"
