name,assertion_sv,line_number,expected_result,code
check_A_to_B,assert property (@(posedge clock) stato == A |-> stato == B),16,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA;
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0; //
    parameter B=1; //
    parameter C=2;
    parameter D=3;
    parameter E=4;
    parameter F=5;
    parameter G=6;
    initial begin
        stato=A; //
        U=0; 
    end
    always @(posedge clock) begin
        case(stato) //
            A: begin //
                stato=B; //
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G;
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end
            F: begin
                stato=G;
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_B_to_C_or_F,assert property (@(posedge clock) stato == B && LINEA==0 |-> stato == C),21,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA; //
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0;
    parameter B=1; //
    parameter C=2; //
    parameter D=3;
    parameter E=4;
    parameter F=5;
    parameter G=6;
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato) //
            A: begin
                stato=B; // 
                U=0;
            end
            B: begin //
                if(LINEA==0) stato=C; //
                else stato=F;
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G;
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end
            F: begin
                stato=G;
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_B_to_F,assert property (@(posedge clock) stato == B && LINEA==1 |-> stato == F),22,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA; //
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0;
    parameter B=1; //
    parameter C=2;
    parameter D=3;
    parameter E=4;
    parameter F=5; //
    parameter G=6;
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato) //
            A: begin
                stato=B;
                U=0; 
            end
            B: begin //
                if(LINEA==0) stato=C;
                else stato=F; //
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G;
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end
            F: begin
                stato=G;
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_C_to_D_or_G,assert property (@(posedge clock) stato == C && LINEA==0 |-> stato == D),27,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA; //
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0;
    parameter B=1;
    parameter C=2; //
    parameter D=3; //
    parameter E=4;
    parameter F=5;
    parameter G=6;
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato) //
            A: begin
                stato=B;
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0; 
            end
            C: begin //
                if(LINEA==0) stato=D; //
                else stato=G;
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end
            F: begin
                stato=G;
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_C_to_G,assert property (@(posedge clock) stato == C && LINEA==1 |-> stato == G),28,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA; //
    output U;
    reg U;
    reg [2:0] stato; // 
    parameter A=0;
    parameter B=1;
    parameter C=2; //
    parameter D=3;
    parameter E=4;
    parameter F=5;
    parameter G=6; //
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato) //
            A: begin
                stato=B;
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0;
            end 
            C: begin //
                if(LINEA==0) stato=D; //
                else stato=G; //
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end
            F: begin
                stato=G;
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_D_to_E,assert property (@(posedge clock) stato == D |-> stato == E),31,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA;
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0;
    parameter B=1;
    parameter C=2;
    parameter D=3; //
    parameter E=4; //
    parameter F=5;
    parameter G=6;
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato) //
            A: begin
                stato=B;
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G; 
                U=0;
            end
            D: begin //
                stato=E; //
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end
            F: begin
                stato=G;
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_E_to_B,assert property (@(posedge clock) stato == E |-> stato == B),34,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA;
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0;
    parameter B=1; //
    parameter C=2;
    parameter D=3;
    parameter E=4; //
    parameter F=5;
    parameter G=6;
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato) //
            A: begin
                stato=B;
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G;
                U=0;
            end
            D: begin 
                stato=E;
                U=0;
            end
            E: begin //
                stato=B; //
                U=1;
            end
            F: begin
                stato=G;
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_F_to_G,assert property (@(posedge clock) stato == F |-> stato == G),37,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA;
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0;
    parameter B=1;
    parameter C=2;
    parameter D=3;
    parameter E=4;
    parameter F=5; //
    parameter G=6; //
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato)
            A: begin
                stato=B;
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G;
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end 
            E: begin
                stato=B;
                U=1;
            end
            F: begin //
                stato=G; //
                U=0;
            end
            G: begin
                if(LINEA==0) stato=E;
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_G_to_E_or_A,assert property (@(posedge clock) stato == G && LINEA==0 |-> stato == E),41,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA; //
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0;
    parameter B=1;
    parameter C=2;
    parameter D=3;
    parameter E=4; //
    parameter F=5;
    parameter G=6; //
    initial begin
        stato=A; //
        U=0;
    end
    always @(posedge clock) begin
        case(stato)
            A: begin
                stato=B;
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G;
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end 
            F: begin
                stato=G;
                U=0;
            end
            G: begin //
                if(LINEA==0) stato=E; //
                else stato=A;
                U=0;
            end
        endcase
    end
endmodule"
check_G_to_A,assert property (@(posedge clock) stato == G && LINEA==1 |-> stato == A),42,PASS,"module main(clock, LINEA, U);
    input clock;
    input LINEA; //
    output U;
    reg U;
    reg [2:0] stato; //
    parameter A=0; //
    parameter B=1;
    parameter C=2;
    parameter D=3;
    parameter E=4;
    parameter F=5;
    parameter G=6; //
    initial begin
        stato=A;
        U=0;
    end
    always @(posedge clock) begin
        case(stato)
            A: begin
                stato=B;
                U=0;
            end
            B: begin
                if(LINEA==0) stato=C;
                else stato=F;
                U=0;
            end
            C: begin
                if(LINEA==0) stato=D;
                else stato=G;
                U=0;
            end
            D: begin
                stato=E;
                U=0;
            end
            E: begin
                stato=B;
                U=1;
            end
            F: begin 
                stato=G;
                U=0;
            end
            G: begin //
                if(LINEA==0) stato=E; //
                else stato=A; //
                U=0;
            end
        endcase
    end
endmodule"
