name,assertion_sv,line_number,expected_result,code
assertion_1,assert property (@(posedge clk) b0 != r0 |-> b1 == r1),5,FAIL,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3; 
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) && //
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 



//The validity function (valid) is a combinational function that checks whether the invariant between the register file (r0, r1, r2, r3) and the shift registers (b0, b1, b2, b3) is maintained. This function ensures that if any register value in b matches a value in r, their neighboring registers must also hold corresponding values. The validity function enforces the core safety property of the system, which is to maintain consistent neighbor relationships between the registers."
assertion_2,assert property (@(posedge clk) b3 != r0 |-> b0 == r1),20,PASS,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) && // 
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_3,assert property (@(posedge clk) b1 != r1 |-> b2 == r2),9,FAIL,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) && // 
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_4,assert property (@(posedge clk) b2 != r1 |-> b3 == r2),12,PASS,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) && // 
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_5,assert property (@(posedge clk) b0 != r1 |-> b1 == r2),6,FAIL,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid 
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) && //
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_6,assert property (@(posedge clk) b3 != r1 |-> b0 == r2),18,PASS,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) && // 
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_7,assert property (@(posedge clk) b1 != r2 |-> b2 == r3),10,FAIL,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) && // 
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_8,assert property (@(posedge clk) b2 != r2 |-> b3 == r3),13,PASS,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) && // 
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_9,assert property (@(posedge clk) b0 != r3 |-> b1 == r0),7,FAIL,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid = 
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) && //
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) &&
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
assertion_10,assert property (@(posedge clk) b3 != r3 |-> b0 == r0),19,PASS,"function valid;
    input [2-1:0] b0, r0;
    input [2-1:0] b1, r1;
    input [2-1:0] b2, r2;
    input [2-1:0] b3, r3;
    begin: _valid
        valid =
            (b0 != r0 || b1 == r1) &&
            (b0 != r1 || b1 == r2) &&
            (b0 != r2 || b1 == r3) &&
            (b0 != r3 || b1 == r0) &&
            (b1 != r0 || b2 == r1) &&
            (b1 != r1 || b2 == r2) &&
            (b1 != r2 || b2 == r3) &&
            (b1 != r3 || b2 == r0) &&
            (b2 != r0 || b3 == r1) &&
            (b2 != r1 || b3 == r2) &&
            (b2 != r2 || b3 == r3) &&
            (b2 != r3 || b3 == r0) && // 
            (b3 != r0 || b0 == r1) &&
            (b3 != r1 || b0 == r2) &&
            (b3 != r2 || b0 == r3) &&
            (b3 != r3 || b0 == r0);
    end
endfunction 
"
