name,assertion_sv,line_number,expected_result,code
check_flip_unchanged,assert property (@(posedge clock) lclFlip[select] == flip |-> lclFlip[select] == flip),11,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip, //
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1], //
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin // 
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip; //
                        pc[select] = L1;
                    end
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L2;
                    end
                L2: if (lclFlip[select] == flip) begin //
                        both[select] = 0;
                        pc[select] = L4;
                    end else begin
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L3;
                    end
                L3: begin
                        both[select] = 1;
                        pc[select] = L4;
                    end
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_pc_transition_L0_to_L1,assert property (@(posedge clock) pc[select] == L0 |-> pc[select] == L1),13,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select]) // 
                L0: if (passctr < PASSES) begin //
                        lclFlip[select] = flip; //
                        pc[select] = L1; //
                    end
                L1: begin //
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}]; //
                        pc[select] = L2; //
                    end
                L2: if (lclFlip[select] == flip) begin
                        both[select] = 0;
                        pc[select] = L4;
                    end else begin
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L3;
                    end
                L3: begin
                        both[select] = 1;
                        pc[select] = L4;
                    end
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_ctr_flip,"assert property (@(posedge clock) ctr[{select, lclFlip[select]}] == 0 |-> ctr[{select, lclFlip[select]}] == 1)",17,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end 
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}]; //
                        pc[select] = L2;
                    end
                L2: if (lclFlip[select] == flip) begin
                        both[select] = 0;
                        pc[select] = L4;
                    end else begin
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L3;
                    end
                L3: begin
                        both[select] = 1;
                        pc[select] = L4;
                    end
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_pc_transition_L1_to_L2,assert property (@(posedge clock) pc[select] == L1 |-> pc[select] == L2),19,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end
                L1: begin //
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}]; // 
                        pc[select] = L2; //
                    end
                L2: if (lclFlip[select] == flip) begin //
                        both[select] = 0; //
                        pc[select] = L4; //
                    end else begin //
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}]; //
                        pc[select] = L3; //
                    end
                L3: begin 
                        both[select] = 1;
                        pc[select] = L4;
                    end
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_both_zero_when_flip_match,assert property (@(posedge clock) lclFlip[select] == flip |-> both[select] == 0),21,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L2;
                    end 
                L2: if (lclFlip[select] == flip) begin //
                        both[select] = 0; //
                        pc[select] = L4;
                    end else begin
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L3;
                    end
                L3: begin
                        both[select] = 1;
                        pc[select] = L4;
                    end
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_pc_transition_L2_to_L4_when_flip_match,assert property (@(posedge clock) pc[select] == L2 && lclFlip[select] == flip |-> pc[select] == L4),23,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L2;
                    end
                L2: if (lclFlip[select] == flip) begin //
                        both[select] = 0; // 
                        pc[select] = L4; //
                    end else begin //
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}]; //
                        pc[select] = L3; //
                    end
                L3: begin
                        both[select] = 1;
                        pc[select] = L4;
                    end
                L4: begin //
                        passctr = passctr + 1; //
                        pc[select] = L5; //
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_ctr_flip_when_lclFlip_not_match,"assert property (@(posedge clock) lclFlip[select] != flip |-> ctr[{select, ~lclFlip[select]}] == ~ctr[{select, ~lclFlip[select]}])",25,FAIL,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L2;
                    end
                L2: if (lclFlip[select] == flip) begin //
                        both[select] = 0;
                        pc[select] = L4;
                    end else begin // 
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}]; //
                        pc[select] = L3;
                    end
                L3: begin
                        both[select] = 1;
                        pc[select] = L4;
                    end
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_pc_transition_L2_to_L3_when_lclFlip_not_match,assert property (@(posedge clock) pc[select] == L2 && lclFlip[select] != flip |-> pc[select] == L3),27,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L2;
                    end
                L2: if (lclFlip[select] == flip) begin
                        both[select] = 0;
                        pc[select] = L4;
                    end else begin //
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}]; //
                        pc[select] = L3; // 
                    end
                L3: begin //
                        both[select] = 1; //
                        pc[select] = L4; //
                    end
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_both_one_in_L3,assert property (@(posedge clock) pc[select] == L3 |-> both[select] == 1),29,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L2;
                    end
                L2: if (lclFlip[select] == flip) begin
                        both[select] = 0;
                        pc[select] = L4;
                    end else begin
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L3;
                    end
                L3: begin // 
                        both[select] = 1; //
                        pc[select] = L4; //
                    end 
                L4: begin
                        passctr = passctr + 1;
                        pc[select] = L5;
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
check_pc_transition_L3_to_L4,assert property (@(posedge clock) pc[select] == L3 |-> pc[select] == L4),31,PASS,"module rdr_control #(parameter NRDR = 4) (
    input clock,
    input [SELMSB:0] select,
    input flip,
    output reg [2:0] pc [0:NRDR-1],
    output reg ctr [0:NRDR_ELEM-1],
    output reg lclFlip [0:NRDR-1],
    output reg both [0:NRDR-1],
    output reg [7:0] passctr
);
    always @ (posedge clock) begin
        if (select < NRDR) begin
            case (pc[select])
                L0: if (passctr < PASSES) begin
                        lclFlip[select] = flip;
                        pc[select] = L1;
                    end
                L1: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L2;
                    end
                L2: if (lclFlip[select] == flip) begin
                        both[select] = 0;
                        pc[select] = L4;
                    end else begin
                        ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L3;
                    end
                L3: begin
                        both[select] = 1;
                        pc[select] = L4; // 
                    end
                L4: begin //
                        passctr = passctr + 1; //
                        pc[select] = L5; //
                    end
                L5: begin
                        passctr = passctr + 1;
                        pc[select] = L6;
                    end
                L6: begin
                        ctr[{select, lclFlip[select]}] = ~ctr[{select, lclFlip[select]}];
                        pc[select] = L7;
                    end
                L7: begin
                        if (both[select])
                            ctr[{select, ~lclFlip[select]}] = ~ctr[{select, ~lclFlip[select]}];
                        pc[select] = L0;
                    end
            endcase
        end
    end
endmodule"
