name,assertion_sv,line_number,expected_result,code
check_ack0_req0,assert property (@(posedge clock) ~req0 |-> ack0 == 0),8,PASS,"module ack_generation(
    input clock,
    input req0, //
    input req1,
    input robin,
    output reg ack0, //
    output reg ack1
); // 
    always @ (posedge clock) begin
        if (~req0) //
            ack0 = 0; //        
        else if (~req1)
            ack0 = 1;         
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else
            ack0 = ~ack0;     
        if (~req1)
            ack1 = 0;        
        else if (~req0)
            ack1 = 1;        
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack0_req1,assert property (@(posedge clock) ~req1 |-> ack0 == 1),11,PASS,"module ack_generation(
    input clock,
    input req0,
    input req1, //
    input robin,
    output reg ack0, //
    output reg ack1
);
    always @ (posedge clock) begin
        if (~req0) // 
            ack0 = 0;        
        else if (~req1)
            ack0 = 1;         
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else
            ack0 = ~ack0;     
        if (~req1) //
            ack1 = 0; // 
        else if (~req0)
            ack1 = 1;        
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack0_ack1_robin,assert property (@(posedge clock) (~ack0 & ~ack1) |-> ack0 == ~robin),14,PASS,"module ack_generation(
    input clock,
    input req0,
    input req1,
    input robin, //
    output reg ack0, //
    output reg ack1 //
);
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0;        
        else if (~req1)
            ack0 = 1; // 
        else if (~ack0 & ~ack1) //
            ack0 = ~robin; //
        else
            ack0 = ~ack0;     
        if (~req1)
            ack1 = 0;        
        else if (~req0)
            ack1 = 1;        
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack0_ack0,assert property (@(posedge clock) ack0 |-> ack0 == ~ack0),17,FAIL,"module ack_generation(
    input clock,
    input req0,
    input req1,
    input robin,
    output reg ack0, //
    output reg ack1
);
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0;        
        else if (~req1)
            ack0 = 1;         
        else if (~ack0 & ~ack1) //
            ack0 = ~robin;    
        else // 
            ack0 = ~ack0; //    
        if (~req1)
            ack1 = 0;        
        else if (~req0)
            ack1 = 1;        
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack1_req1,assert property (@(posedge clock) ~req1 |-> ack1 == 0),20,PASS,"module ack_generation(
    input clock,
    input req0,
    input req1, //
    input robin,
    output reg ack0, //
    output reg ack1 //
);
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0;        
        else if (~req1)
            ack0 = 1;         
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else //
            ack0 = ~ack0;     
        if (~req1) //
            ack1 = 0; //        
        else if (~req0)
            ack1 = 1;        
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack1_req0,assert property (@(posedge clock) ~req0 |-> ack1 == 1),23,PASS,"module ack_generation(
    input clock,
    input req0, //
    input req1,
    input robin,
    output reg ack0,
    output reg ack1 //
);
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0;        
        else if (~req1)
            ack0 = 1;         
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else
            ack0 = ~ack0;     
        if (~req1)
            ack1 = 0;        
        else if (~req0) // 
            ack1 = 1; //    
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack1_ack0_ack1_robin,assert property (@(posedge clock) (~ack0 & ~ack1) |-> ack1 == robin),26,PASS,"module ack_generation(
    input clock,
    input req0,
    input req1,
    input robin, //
    output reg ack0, //
    output reg ack1 //
);
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0;        
        else if (~req1)
            ack0 = 1;         
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else
            ack0 = ~ack0;     
        if (~req1)
            ack1 = 0;        
        else if (~req0)
            ack1 = 1;        
        else if (~ack0 & ~ack1) //
            ack1 = robin; // 
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack1_ack1,assert property (@(posedge clock) ack1 |-> ack1 == ~ack1),29,FAIL,"module ack_generation(
    input clock,
    input req0,
    input req1,
    input robin,
    output reg ack0,
    output reg ack1 //
);
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0;        
        else if (~req1)
            ack0 = 1;         
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else
            ack0 = ~ack0;     
        if (~req1)
            ack1 = 0;        
        else if (~req0)
            ack1 = 1;        
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else //
            ack1 = ~ack1; //
    end 
endmodule"
check_ack0_ack1_simultaneous,assert property (@(posedge clock) ack0 & ack1 |-> 0),30,PASS,"module ack_generation(
    input clock,
    input req0,
    input req1,
    input robin,
    output reg ack0, //
    output reg ack1 //
);
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0; //      
        else if (~req1)
            ack0 = 1; //  
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else
            ack0 = ~ack0;     
        if (~req1)
            ack1 = 0; //      
        else if (~req0)
            ack1 = 1; //       
        else if (~ack0 & ~ack1)
            ack1 = robin;     
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack0_ack1_mutual_exclusion,assert property (@(posedge clock) ack0 |-> ~ack1),31,FAIL,"module ack_generation(
    input clock,
    input req0,
    input req1,
    input robin,
    output reg ack0, //
    output reg ack1 //
);
    always @ (posedge clock) begin
        if (~req0) //
            ack0 = 0; // 
        else if (~req1) //
            ack0 = 1; //        
        else if (~ack0 & ~ack1)
            ack0 = ~robin;    
        else
            ack0 = ~ack0;     
        if (~req1) //
            ack1 = 0; //        
        else if (~req0) //
            ack1 = 1; //        
        else if (~ack0 & ~ack1) 
            ack1 = robin;      
        else
            ack1 = ~ack1;     
    end
endmodule"
check_ack0_when_req0_inactive,assert property (@(posedge clock) (!req0) |-> (!ack0)),10,PASS,"module main(clock,ir0,ir1,ack0,ack1);
    input  clock;
    input  ir0, ir1;
    output ack0, ack1;
    reg    req0, req1, ack0, ack1, robin; //
    initial begin
        ack0 = 0; ack1 = 0; robin = 0;
        req0 = ir0; req1 = ir1;
    end
    always @ (posedge clock) begin 
        if (~req0)
            ack0 = 0; //
        else if (~req1)
            ack0 = 1;
        else if (~ack0 & ~ack1)
            ack0 = ~robin;
        else
            ack0 = ~ack0;
    end
    always @ (posedge clock) begin
        if (~req1)
            ack1 = 0;
        else if (~req0)
            ack1 = 1;
        else if (~ack0 & ~ack1)
            ack1 = robin;
        else
            ack1 = ~ack1;
    end
    always @ (posedge clock) begin
        if (req0 & req1 & ~ack0 & ~ack1)
            robin = ~robin;
    end
    always @ (posedge clock) begin
        req0 = ir0; //
        req1 = ir1;
    end
endmodule"
check_ack0_when_req1_inactive,assert property (@(posedge clock) (!req1) |-> (ack0)),12,PASS,"module main(clock,ir0,ir1,ack0,ack1);
    input  clock;
    input  ir0, ir1;
    output ack0, ack1;
    reg    req0, req1, ack0, ack1, robin; //
    initial begin
        ack0 = 0; ack1 = 0; robin = 0;
        req0 = ir0; req1 = ir1; //
    end
    always @ (posedge clock) begin
        if (~req0)
            ack0 = 0;
        else if (~req1) //
            ack0 = 1; //
        else if (~ack0 & ~ack1)
            ack0 = ~robin;
        else
            ack0 = ~ack0;
    end
    always @ (posedge clock) begin
        if (~req1)
            ack1 = 0;
        else if (~req0)
            ack1 = 1;
        else if (~ack0 & ~ack1)
            ack1 = robin;
        else
            ack1 = ~ack1;
    end
    always @ (posedge clock) begin
        if (req0 & req1 & ~ack0 & ~ack1)
            robin = ~robin;
    end
    always @ (posedge clock) begin
        req0 = ir0;
        req1 = ir1; //
    end
endmodule"
