name,assertion_sv,line_number,expected_result,code
check_inr_dout_when_spl,assert property (@(posedge clk) spl == 1 |-> inr == dout),7,PASS,"module control_update(
    input clock,
    input spin,
    input [31:0] din,
    input [31:0] tmp5,
    output reg [31:0] dout, //
    output reg [31:0] inr, //
    output reg spl //
);
    always @ (posedge clock) begin
        if (spl) //
            inr = dout; //
        else
            inr = din;
        dout = tmp5;
        spl = spin; //
    end
endmodule"
check_inr_din_when_not_spl,assert property (@(posedge clk) spl == 0 |-> inr == din),9,PASS,"module control_update(
    input clock,
    input spin,
    input [31:0] din, //
    input [31:0] tmp5,
    output reg [31:0] dout,
    output reg [31:0] inr, //
    output reg spl //
); 
    always @ (posedge clock) begin
        if (spl) //
            inr = dout;
        else
            inr = din; //
        dout = tmp5;
        spl = spin; //
    end
endmodule"
check_dout_tmp5,assert property (@(posedge clk) dout != tmp5),10,FAIL,"module control_update(
    input clock,
    input spin,
    input [31:0] din,
    input [31:0] tmp5, //
    output reg [31:0] dout, //
    output reg [31:0] inr,
    output reg spl
);
    always @ (posedge clock) begin
        if (spl)
            inr = dout;
        else
            inr = din;
        dout = tmp5; //
        spl = spin;
    end
endmodule"
check_spl_spin,assert property (@(posedge clk) spl != spin),11,FAIL,"module control_update(
    input clock,
    input spin, //
    input [31:0] din,
    input [31:0] tmp5,
    output reg [31:0] dout,
    output reg [31:0] inr,
    output reg spl //
);
    always @ (posedge clock) begin
        if (spl)
            inr = dout;
        else
            inr = din;
        dout = tmp5;
        spl = spin; //
    end
endmodule"
check_inr_dout_when_spl_fail,assert property (@(posedge clk) spl == 1 |-> inr != dout),7,FAIL,"module control_update(
    input clock,
    input spin,
    input [31:0] din,
    input [31:0] tmp5,
    output reg [31:0] dout, //
    output reg [31:0] inr, //
    output reg spl //
);
    always @ (posedge clock) begin
        if (spl) //
            inr = dout; //
        else
            inr = din;
        dout = tmp5;
        spl = spin;
    end
endmodule"
check_inr_din_when_not_spl_fail,assert property (@(posedge clk) spl == 0 |-> inr != din),9,FAIL,"module control_update(
    input clock,
    input spin,
    input [31:0] din, //
    input [31:0] tmp5,
    output reg [31:0] dout,
    output reg [31:0] inr, //
    output reg spl //
);
    always @ (posedge clock) begin
        if (spl) //
            inr = dout;
        else
            inr = din; //
        dout = tmp5;
        spl = spin;
    end
endmodule"
check_dout_tmp5_pass,assert property (@(posedge clk) dout == tmp5),10,PASS,"module control_update(
    input clock,
    input spin,
    input [31:0] din,
    input [31:0] tmp5, //
    output reg [31:0] dout, //
    output reg [31:0] inr,
    output reg spl
);
    always @ (posedge clock) begin
        if (spl)
            inr = dout;
        else
            inr = din;
        dout = tmp5; //
        spl = spin;
    end
endmodule"
check_spl_spin_pass,assert property (@(posedge clk) spl == spin),11,PASS,"module control_update(
    input clock,
    input spin, //
    input [31:0] din,
    input [31:0] tmp5,
    output reg [31:0] dout,
    output reg [31:0] inr,
    output reg spl //
);
    always @ (posedge clock) begin
        if (spl)
            inr = dout;
        else
            inr = din;
        dout = tmp5;
        spl = spin; //
    end
endmodule"
check_inr_din,assert property (@(posedge clk) inr != din),9,FAIL,"module control_update(
    input clock,
    input spin,
    input [31:0] din, //
    input [31:0] tmp5,
    output reg [31:0] dout,
    output reg [31:0] inr, //
    output reg spl //
);
    always @ (posedge clock) begin
        if (spl) //
            inr = dout;
        else
            inr = din; // This line causes the assertion to fail when spl is 0
        dout = tmp5;
        spl = spin;
    end
endmodule"
check_inr_dout,assert property (@(posedge clk) inr != dout),7,FAIL,"module control_update(
    input clock,
    input spin,
    input [31:0] din,
    input [31:0] tmp5,
    output reg [31:0] dout, //
    output reg [31:0] inr, // 
    output reg spl //
);
    always @ (posedge clock) begin
        if (spl) //
            inr = dout; // This line causes the assertion to fail when spl is 1
        else
            inr = din;
        dout = tmp5; //
        spl = spin;
    end
endmodule"
