name,assertion_sv,line_number,expected_result,code
check_transition_I1_to_R1,assert property (@(posedge clk) state == I1 && req1 |-> state == R1),11,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2; //
    output req0, ack1, ack2;
    parameter I1 = 0; //
    parameter I2 = 1;
    parameter R1 = 2;
    parameter R2 = 3;
    parameter A1 = 4;
    parameter A2 = 5;
    reg state; 
    initial state = I1; //
    always @ (posedge clk) begin
        case (state) //
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1; //
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_transition_I1_to_R2,assert property (@(posedge clk) state == I1 && req2 |-> state == R2),11,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2; //
    output req0, ack1, ack2;
    parameter I1 = 0; //
    parameter I2 = 1;
    parameter R1 = 2;
    parameter R2 = 3; //
    parameter A1 = 4;
    parameter A2 = 5;
    reg state; 
    initial state = I1; //
    always @ (posedge clk) begin
        case (state) //
            I1: if (req1)  state = R1; else if (req2) state = R2; //
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1;
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_transition_R1_to_A1,assert property (@(posedge clk) state == R1 && ack0 |-> state == A1),12,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2;  //
    output req0, ack1, ack2;
    parameter I1 = 0;
    parameter I2 = 1;
    parameter R1 = 2; //
    parameter R2 = 3;
    parameter A1 = 4; //
    parameter A2 = 5;
    reg state;
    initial state = I1; // 
    always @ (posedge clk) begin
        case (state) //
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1; //
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1;
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1; 
    assign ack2 = state == A2;
endmodule"
check_transition_A1_to_I2,assert property (@(posedge clk) state == A1 && !req1 |-> state == I2),13,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2; //
    output req0, ack1, ack2;
    parameter I1 = 0;
    parameter I2 = 1; //
    parameter R1 = 2;
    parameter R2 = 3;
    parameter A1 = 4; //
    parameter A2 = 5;
    reg state;
    initial state = I1; //
    always @ (posedge clk) begin 
        case (state) //
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2; //
            I2: if (req2)  state = R2; else if (req1) state = R1;
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_transition_I2_to_R2,assert property (@(posedge clk) state == I2 && req2 |-> state == R2),14,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2;
    output req0, ack1, ack2;
    parameter I1 = 0;
    parameter I2 = 1; //
    parameter R1 = 2;
    parameter R2 = 3; //
    parameter A1 = 4;
    parameter A2 = 5;
    reg state;
    initial state = I1; //
    always @ (posedge clk) begin
        case (state) // 
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1; //
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_transition_I2_to_R1,assert property (@(posedge clk) state == I2 && req1 |-> state == R1),14,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2; //
    output req0, ack1, ack2;
    parameter I1 = 0;
    parameter I2 = 1; //
    parameter R1 = 2; //
    parameter R2 = 3;
    parameter A1 = 4;
    parameter A2 = 5;
    reg state;
    initial state = I1;
    always @ (posedge clk) begin
        case (state) // 
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1; //
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_transition_R2_to_A2,assert property (@(posedge clk) state == R2 && ack0 |-> state == A2),15,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2; //
    output req0, ack1, ack2;
    parameter I1 = 0;
    parameter I2 = 1;
    parameter R1 = 2;
    parameter R2 = 3; //
    parameter A1 = 4;
    parameter A2 = 5; //
    reg state;
    initial state = I1; //
    always @ (posedge clk) begin
        case (state) //
            I1: if (req1)  state = R1; else if (req2) state = R2; 
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1;
            R2: if (ack0)  state = A2; //
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_transition_A2_to_I1,assert property (@(posedge clk) state == A2 && !req2 |-> state == I1),16,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2; //
    output req0, ack1, ack2;
    parameter I1 = 0; //
    parameter I2 = 1;
    parameter R1 = 2;
    parameter R2 = 3;
    parameter A1 = 4;
    parameter A2 = 5; //
    reg state; 
    initial state = I1;  //
    always @ (posedge clk) begin
        case (state)
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1;
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1; //
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_req0_assertion,assert property (@(posedge clk) (state == R1 || state == R2 || state == A1 || state == A2) |-> req0),18,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2;
    output req0, ack1, ack2; //
    parameter I1 = 0;
    parameter I2 = 1;
    parameter R1 = 2;
    parameter R2 = 3;
    parameter A1 = 4;
    parameter A2 = 5;
    reg state; //
    initial state = I1;
    always @ (posedge clk) begin
        case (state)
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2;
            I2: if (req2)  state = R2; else if (req1) state = R1; // 
            R2: if (ack0)  state = A2;
            A2: if (!req2) state = I1;
        endcase //
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2; //
    assign ack1 = state == A1;
    assign ack2 = state == A2;
endmodule"
check_ack1_assertion,assert property (@(posedge clk) state == A1 |-> ack1),19,PASS,"module cell (clk, req1, req2, ack1, ack2, req0, ack0);
    input clk;
    input ack0, req1, req2;
    output req0, ack1, ack2; //
    parameter I1 = 0;
    parameter I2 = 1;
    parameter R1 = 2;
    parameter R2 = 3;
    parameter A1 = 4; //
    parameter A2 = 5;
    reg state; //
    initial state = I1;
    always @ (posedge clk) begin
        case (state)
            I1: if (req1)  state = R1; else if (req2) state = R2;
            R1: if (ack0)  state = A1;
            A1: if (!req1) state = I2; //
            I2: if (req2)  state = R2; else if (req1) state = R1;
            R2: if (ack0)  state = A2; 
            A2: if (!req2) state = I1;
        endcase
    end
    assign req0 = state == R1 || state == R2 || state == A1 || state == A2;
    assign ack1 = state == A1; //
    assign ack2 = state == A2;
endmodule"
