name,assertion_sv,line_number,expected_result,code
check_turn_initialization,assert property (@(posedge clock) $initstate |-> turn == X),18,PASS,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove;
    output winX, winO, finished;
    parameter EMPTY = 0;
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8];
    reg [1:0] turn; //
    reg [3:0] move;
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY; //
        turn = X; //
        move = 0;
    end
    always @ (posedge clock) begin // 
        move = (imove < 9) ? imove : 0; //
        if (!finished && b[move] == EMPTY) begin //
            b[move] = turn; //
            turn = (turn == X) ? 0 : X; //
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X);

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O);

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
check_board_initialization,assert property (@(posedge clock) $initstate |-> b[0] == EMPTY),16,PASS,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove;
    output winX, winO, finished;
    parameter EMPTY = 0; //
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8]; //
    reg [1:0] turn;
    reg [3:0] move;
    integer i; //
    initial begin //
        for (i = 0; i < 9; i = i + 1) //
            b[i] = EMPTY; //
        turn = X;
        move = 0;
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0;
        if (!finished && b[move] == EMPTY) begin
            b[move] = turn;
            turn = (turn == X) ? 0 : X;
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X);

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O);

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
check_move_validation,assert property (@(posedge clock) imove < 9 |-> move == imove),23,PASS,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove; //
    output winX, winO, finished;
    parameter EMPTY = 0;
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8];
    reg [1:0] turn;
    reg [3:0] move; //
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY;
        turn = X;
        move = 0; //
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0; //
        if (!finished && b[move] == EMPTY) begin
            b[move] = turn;
            turn = (turn == X) ? 0 : X;
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X);

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O);

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
check_invalid_move,assert property (@(posedge clock) imove >= 9 |-> move == 0),23,PASS,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove; //
    output winX, winO, finished;
    parameter EMPTY = 0;
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8];
    reg [1:0] turn;
    reg [3:0] move; //
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY;
        turn = X;
        move = 0; //
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0; //
        if (!finished && b[move] == EMPTY) begin
            b[move] = turn;
            turn = (turn == X) ? 0 : X;
        end 
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X);

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O);

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
check_turn_update,assert property (@(posedge clock) turn == X |-> turn == O),28,FAIL,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove;
    output winX, winO, finished; //
    parameter EMPTY = 0;
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8];
    reg [1:0] turn; //
    reg [3:0] move; //
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY;
        turn = X; //
        move = 0;
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0;
        if (!finished && b[move] == EMPTY) begin //
            b[move] = turn;
            turn = (turn == X) ? 0 : X; //
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X); 

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O);

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
check_winX_condition,assert property (@(posedge clock) b[0] == X && b[1] == X && b[2] == X |-> winX == 1),33,PASS,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove;
    output winX, winO, finished; //
    parameter EMPTY = 0;
    parameter X = 1; //
    parameter O = 2;
    reg [1:0] b[0:8]; //
    reg [1:0] turn;
    reg [3:0] move;
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY;
        turn = X;
        move = 0;
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0;
        if (!finished && b[move] == EMPTY) begin
            b[move] = turn;
            turn = (turn == X) ? 0 : X;
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) | //
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X);

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O); 

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
check_winO_condition,assert property (@(posedge clock) b[0] == O && b[1] == O && b[2] == O |-> winO == 1),37,PASS,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove;
    output winX, winO, finished; //
    parameter EMPTY = 0;
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8]; //
    reg [1:0] turn;
    reg [3:0] move;
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY;
        turn = X;
        move = 0;
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0;
        if (!finished && b[move] == EMPTY) begin
            b[move] = turn;
            turn = (turn == X) ? 0 : X;
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X);

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) | //
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O);

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY & 
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
check_game_finished,assert property (@(posedge clock) winX == 1 | winO == 1 |-> finished == 1),41,PASS,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove;
    output winX, winO, finished; //
    parameter EMPTY = 0;
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8]; //
    reg [1:0] turn;
    reg [3:0] move;
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY;
        turn = X;
        move = 0;
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0;
        if (!finished && b[move] == EMPTY) begin
            b[move] = turn;
            turn = (turn == X) ? 0 : X;
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X); //

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O); //

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY; //
endmodule"
check_game_not_finished,assert property (@(posedge clock) winX == 0 && winO == 0 && b[0] == EMPTY |-> finished == 0),41,FAIL,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove;
    output winX, winO, finished; //
    parameter EMPTY = 0;
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8]; //
    reg [1:0] turn;
    reg [3:0] move;
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY;
        turn = X;
        move = 0;
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0;
        if (!finished && b[move] == EMPTY) begin
            b[move] = turn;
            turn = (turn == X) ? 0 : X;
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) |
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X); //

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O); //

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY; //
endmodule"
check_empty_move,assert property (@(posedge clock) b[move] != EMPTY |-> move == 0),26,FAIL,"module main(clock, imove, winX, winO, finished);
    input clock;
    input [3:0] imove; //
    output winX, winO, finished;
    parameter EMPTY = 0; //
    parameter X = 1;
    parameter O = 2;
    reg [1:0] b[0:8]; //
    reg [1:0] turn;
    reg [3:0] move; //
    integer i;
    initial begin
        for (i = 0; i < 9; i = i + 1)
            b[i] = EMPTY; //
        turn = X;
        move = 0; //
    end
    always @ (posedge clock) begin
        move = (imove < 9) ? imove : 0; //
        if (!finished && b[move] == EMPTY) begin //
            b[move] = turn; //
            turn = (turn == X) ? 0 : X;
        end
    end
    assign winX = b[0]==X & (b[1]==X & b[2]==X | b[3]==X & b[6]==X) |
                  b[8]==X & (b[7]==X & b[6]==X | b[5]==X & b[2]==X) | 
                  b[4]==X & (b[0]==X & b[8]==X | b[2]==X & b[6]==X |
                             b[1]==X & b[7]==X | b[3]==X & b[5]==X);

    assign winO = b[0]==O & (b[1]==O & b[2]==O | b[3]==O & b[6]==O) |
                  b[8]==O & (b[7]==O & b[6]==O | b[5]==O & b[2]==O) |
                  b[4]==O & (b[0]==O & b[8]==O | b[2]==O & b[6]==O |
                             b[1]==O & b[7]==O | b[3]==O & b[5]==O);

    assign finished = winX | winO |
                      b[0]!=EMPTY & b[1]!=EMPTY & b[2]!=EMPTY &
                      b[3]!=EMPTY & b[4]!=EMPTY & b[5]!=EMPTY &
                      b[6]!=EMPTY & b[7]!=EMPTY & b[8]!=EMPTY;
endmodule"
