name,assertion_sv,line_number,expected_result,code
check_reset_prev,assert property (@(posedge clock) reset |-> prev == 0),20,PASS,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset; //
    input [7:0] in;
    output Lcmd;
    output Ucmd;
    output Ncmd;
    output Ccmd;
    reg Lcmd;
    reg Ucmd;
    reg Ncmd;
    reg Ccmd;
    wire load;
    reg [7:0] prev; //
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0; // 
    end
    always @ (posedge clock)
        if (reset) //
            prev = 0; //
        else
            prev = in;
    assign load = (prev == 8'h1b); 
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in)
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_load_condition,assert property (@(posedge clock) load |-> prev == 8'h1b),23,PASS,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset;
    input [7:0] in;
    output Lcmd;
    output Ucmd;
    output Ncmd;
    output Ccmd;
    reg Lcmd;
    reg Ucmd;
    reg Ncmd;
    reg Ccmd;
    wire load; //
    reg [7:0] prev; //
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0; //
    end
    always @ (posedge clock)
        if (reset) 
            prev = 0; //
        else
            prev = in; //
    assign load = (prev == 8'h1b); //
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in)
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_reset_cmds,assert property (@(posedge clock) reset |-> Ncmd == 1 && Lcmd == 0 && Ucmd == 0 && Ccmd == 0),26,PASS,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock; //
    input reset; //
    input [7:0] in;
    output Lcmd; //
    output Ucmd; //
    output Ncmd; //
    output Ccmd; //
    reg Lcmd; //
    reg Ucmd; //
    reg Ncmd; //
    reg Ccmd; //
    wire load;
    reg [7:0] prev;
    initial begin
        Lcmd = 0; //
        Ucmd = 0; //
        Ncmd = 1; //
        Ccmd = 0; //
        prev = 0;
    end
    always @ (posedge clock)
        if (reset)
            prev = 0;
        else
            prev = in;
    assign load = (prev == 8'h1b);
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1; //
            Lcmd = 0; //
            Ucmd = 0; //
            Ccmd = 0; //
        end else if (load) begin
            case (in)
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_Lcmd_case,assert property (@(posedge clock) in == 8'h4c |-> Lcmd == 1),30,PASS,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset;
    input [7:0] in; //
    output Lcmd; //
    output Ucmd;
    output Ncmd;
    output Ccmd;
    reg Lcmd; //
    reg Ucmd;
    reg Ncmd;
    reg Ccmd;
    wire load;
    reg [7:0] prev;
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0;
    end
    always @ (posedge clock)
        if (reset)
            prev = 0;
        else
            prev = in;
    assign load = (prev == 8'h1b); 
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1; 
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in) //
                8'h4c: begin //
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0; //
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_Ucmd_case,assert property (@(posedge clock) in == 8'h55 |-> Ucmd == 1),34,PASS,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset;
    input [7:0] in; //
    output Lcmd;
    output Ucmd; //
    output Ncmd;
    output Ccmd;
    reg Lcmd;
    reg Ucmd; //
    reg Ncmd;
    reg Ccmd;
    wire load;
    reg [7:0] prev;
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0;
    end
    always @ (posedge clock)
        if (reset)
            prev = 0;
        else
            prev = in;
    assign load = (prev == 8'h1b); 
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in) //
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin //
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0; //
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_Ncmd_case,assert property (@(posedge clock) in == 8'h4e |-> Ncmd == 1),38,PASS,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset;
    input [7:0] in; //
    output Lcmd;
    output Ucmd;
    output Ncmd; //
    output Ccmd;
    reg Lcmd;
    reg Ucmd;
    reg Ncmd; //
    reg Ccmd;
    wire load;
    reg [7:0] prev;
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0;
    end
    always @ (posedge clock)
        if (reset)
            prev = 0;
        else
            prev = in;
    assign load = (prev == 8'h1b); 
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in) //
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end  
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin //
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0; //
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_Ccmd_case,assert property (@(posedge clock) in == 8'h43 |-> Ccmd == 1),42,PASS,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset;
    input [7:0] in; //
    output Lcmd;
    output Ucmd;
    output Ncmd;
    output Ccmd; //
    reg Lcmd;
    reg Ucmd;
    reg Ncmd;
    reg Ccmd; //
    wire load;
    reg [7:0] prev;
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0;
    end
    always @ (posedge clock)
        if (reset)
            prev = 0;
        else
            prev = in;
    assign load = (prev == 8'h1b);
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in) //
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin //
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1; //
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_default_case,assert property (@(posedge clock) (in != 8'h4c && in != 8'h55 && in != 8'h4e && in != 8'h43) |-> Lcmd == 1'bx && Ucmd == 1'bx && Ncmd == 1'bx && Ccmd == 1'bx),46,FAIL,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset;
    input [7:0] in; //
    output Lcmd; //
    output Ucmd; //
    output Ncmd; //
    output Ccmd; //
    reg Lcmd; //
    reg Ucmd; //
    reg Ncmd; //
    reg Ccmd; //
    wire load;
    reg [7:0] prev;
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0;
    end
    always @ (posedge clock)
        if (reset)
            prev = 0;
        else
            prev = in;
    assign load = (prev == 8'h1b);
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in) //
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;  
                end
                default: begin //
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx; //
                end
            endcase
        end
    end
endmodule"
check_reset_prev_fail,assert property (@(posedge clock) reset |-> prev != 0),20,FAIL,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset; //
    input [7:0] in;
    output Lcmd;
    output Ucmd;
    output Ncmd;
    output Ccmd;
    reg Lcmd;
    reg Ucmd;
    reg Ncmd;
    reg Ccmd;
    wire load;
    reg [7:0] prev; //
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0; // 
    end
    always @ (posedge clock)
        if (reset) //
            prev = 0; //
        else
            prev = in;
    assign load = (prev == 8'h1b); 
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in)
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
check_load_condition_fail,assert property (@(posedge clock) load |-> prev != 8'h1b),23,FAIL,"module control (clock, reset, in, Lcmd, Ucmd, Ncmd, Ccmd);
    input clock;
    input reset;
    input [7:0] in;
    output Lcmd;
    output Ucmd;
    output Ncmd;
    output Ccmd;
    reg Lcmd;
    reg Ucmd;
    reg Ncmd;
    reg Ccmd;
    wire load; //
    reg [7:0] prev; //
    initial begin
        Lcmd = 0;
        Ucmd = 0;
        Ncmd = 1;
        Ccmd = 0;
        prev = 0;
    end
    always @ (posedge clock)
        if (reset) // 
            prev = 0;
        else
            prev = in;
    assign load = (prev == 8'h1b); // 
    always @ (posedge clock) begin
        if (reset) begin
            Ncmd = 1;
            Lcmd = 0;
            Ucmd = 0;
            Ccmd = 0;
        end else if (load) begin
            case (in)
                8'h4c: begin 
                    Lcmd = 1; Ucmd = 0; Ncmd = 0; Ccmd = 0;
                end
                8'h55: begin 
                    Lcmd = 0; Ucmd = 1; Ncmd = 0; Ccmd = 0;
                end
                8'h4e: begin 
                    Lcmd = 0; Ucmd = 0; Ncmd = 1; Ccmd = 0;
                end
                8'h43: begin
                    Lcmd = 0; Ucmd = 0; Ncmd = 0; Ccmd = 1;
                end
                default: begin
                    Lcmd = 1'bx; Ucmd = 1'bx; Ncmd = 1'bx; Ccmd = 1'bx;
                end
            endcase
        end
    end
endmodule"
